                       OLS Regression Results                       
Dep. Variable:   ,y               ,  R-squared:         ,   0.811   
Model:           ,OLS             ,  Adj. R-squared:    ,   0.810   
Method:          ,Least Squares   ,  F-statistic:       ,   903.9   
Date:            ,Sun, 02 Jun 2019,  Prob (F-statistic):,  0.00     
Time:            ,23:12:16        ,  Log-Likelihood:    ,-2.8961e+05
No. Observations:, 21613          ,  AIC:               ,5.794e+05  
Df Residuals:    , 21510          ,  BIC:               ,5.802e+05  
Df Model:        ,   102          ,                     ,           
Covariance Type: ,nonrobust       ,                     ,           
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x51  , 2.754e+05, 2.14e+04,   12.868, 0.000, 2.33e+05, 3.17e+05
x52  , 1.394e+05, 1.74e+04,    8.025, 0.000, 1.05e+05, 1.73e+05
x53  , 4.205e+05, 2.17e+04,   19.376, 0.000, 3.78e+05, 4.63e+05
x54  ,  2.86e+05, 1.94e+04,   14.725, 0.000, 2.48e+05, 3.24e+05
x55  , 1.625e+05, 2.08e+04,    7.819, 0.000, 1.22e+05, 2.03e+05
x56  , 1.602e+05, 1.91e+04,    8.403, 0.000, 1.23e+05, 1.98e+05
x57  , 1.372e+05, 2.07e+04,    6.645, 0.000, 9.68e+04, 1.78e+05
x58  , 2.175e+05, 1.96e+04,   11.071, 0.000, 1.79e+05, 2.56e+05
x59  , 2.253e+05,  1.9e+04,   11.872, 0.000, 1.88e+05, 2.63e+05
x60  , 8.827e+04, 1.86e+04,    4.746, 0.000, 5.18e+04, 1.25e+05
x61  , 6.381e+04, 2.49e+04,    2.565, 0.010,  1.5e+04, 1.13e+05
x62  , 1.295e+05, 2.11e+04,    6.141, 0.000, 8.81e+04, 1.71e+05
x63  , 3.695e+04, 1.76e+04,    2.097, 0.036, 2404.756, 7.15e+04
x64  , 6.468e+04, 1.84e+04,    3.516, 0.000, 2.86e+04, 1.01e+05
x65  , 1.895e+05, 2.29e+04,    8.278, 0.000, 1.45e+05, 2.34e+05
x66  , 3.223e+04, 1.95e+04,    1.653, 0.098,-5990.420, 7.04e+04
x67  , 2.569e+04, 1.91e+04,    1.342, 0.180,-1.18e+04, 6.32e+04
x68  ,-7305.9448, 1.59e+04,   -0.461, 0.645,-3.84e+04, 2.38e+04
x69  , 3.303e+05, 2.05e+04,   16.110, 0.000,  2.9e+05,  3.7e+05
x70  ,  953.9625,  111.441,    8.560, 0.000,  735.530, 1172.395
x71  , -615.2780,   64.569,   -9.529, 0.000, -741.839, -488.717
x72  , 5.696e+04, 1218.146,   46.762, 0.000, 5.46e+04, 5.94e+04
x73  , 4.202e+04, 1343.640,   31.276, 0.000, 3.94e+04, 4.47e+04
x74  ,-3837.5364, 1659.152,   -2.313, 0.021,-7089.598, -585.474
x75  , 1.009e+04, 1590.866,    6.340, 0.000, 6968.206, 1.32e+04
x76  , 8.986e+04, 1290.666,   69.624, 0.000, 8.73e+04, 9.24e+04
x77  , 9081.3181, 1982.992,    4.580, 0.000, 5194.506,  1.3e+04
x78  , 1.363e+04, 1274.140,   10.698, 0.000, 1.11e+04, 1.61e+04
x79  , 9.238e+04, 1405.713,   65.719, 0.000, 8.96e+04, 9.51e+04
x80  ,-9.392e+04, 8.45e+04,   -1.112, 0.266,-2.59e+05, 7.16e+04
x81  ,-1.163e+05, 1.33e+05,   -0.875, 0.381,-3.77e+05, 1.44e+05
x82  , 6.356e+04, 1.75e+05,    0.364, 0.716,-2.79e+05, 4.06e+05
x83  ,-9724.7184, 7.39e+04,   -0.132, 0.895,-1.55e+05, 1.35e+05
x84  , 2.674e+04, 7.08e+04,    0.378, 0.706,-1.12e+05, 1.66e+05
x85  ,-5.835e+04, 6.73e+04,   -0.867, 0.386, -1.9e+05, 7.36e+04
x86  ,-7.872e+04, 6.91e+04,   -1.139, 0.255,-2.14e+05, 5.67e+04
x87  ,-6.516e+04, 6.94e+04,   -0.938, 0.348,-2.01e+05, 7.09e+04
x88  ,-4.949e+04, 6.97e+04,   -0.710, 0.478,-1.86e+05, 8.71e+04
x89  ,-3.497e+04, 7.07e+04,   -0.495, 0.621,-1.74e+05, 1.04e+05
x90  ,-2.756e+04,  7.1e+04,   -0.388, 0.698,-1.67e+05, 1.12e+05
x91  ,  9.35e+04, 7.79e+04,    1.201, 0.230,-5.91e+04, 2.46e+05
x92  , 1.338e+04, 3.31e+04,    0.405, 0.686,-5.15e+04, 7.82e+04
x93  , 2.181e+04, 3.48e+04,    0.628, 0.530,-4.63e+04, 8.99e+04
x94  , 3.341e+04, 3.58e+04,    0.933, 0.351,-3.68e+04, 1.04e+05
x95  , 7.292e+04, 3.63e+04,    2.006, 0.045, 1671.809, 1.44e+05
x96  , 5.639e+04, 3.75e+04,    1.502, 0.133,-1.72e+04,  1.3e+05
x97  , 1.786e+04, 3.83e+04,    0.467, 0.641,-5.71e+04, 9.29e+04
x98  , 6.613e+04, 2132.166,   31.016, 0.000,  6.2e+04, 7.03e+04
x99  ,-2.543e+04, 1700.064,  -14.957, 0.000,-2.88e+04,-2.21e+04
x100 ,  122.6393,    9.692,   12.654, 0.000,  103.642,  141.636
x101 ,  1.79e+04, 1253.692,   14.277, 0.000, 1.54e+04, 2.04e+04
x102 ,-2.466e+04, 1419.656,  -17.372, 0.000,-2.74e+04,-2.19e+04
x103 , 1.743e+04, 2014.841,    8.652, 0.000, 1.35e+04, 2.14e+04
Omnibus:      ,21078.109,  Durbin-Watson:     ,   1.996   
Prob(Omnibus):, 0.000   ,  Jarque-Bera (JB):  ,4590880.142
Skew:         , 4.231   ,  Prob(JB):          ,    0.00   
Kurtosis:     ,73.896   ,  Cond. No.          ,6.02e+17   

Warnings:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 6.44e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
